codigo_ibge,municipio,ano,casos
110001,ALTA FLORESTA D'OESTE,2016,487.0
110002,ARIQUEMES,2016,62.0
110003,CABIXI,2016,52.0
110004,CACOAL,2016,248.0
110005,CEREJEIRAS,2016,349.0
110006,COLORADO DO OESTE,2016,35.0
110007,CORUMBIARA,2016,12.0
110008,COSTA MARQUES,2016,37.0
110009,ESPIGAO D'OESTE,2016,511.0
110010,GUAJARA-MIRIM,2016,283.0
110011,JARU,2016,116.0
110012,JI-PARANA,2016,926.0
110013,MACHADINHO D'OESTE,2016,462.0
110014,NOVA BRASILANDIA D'OESTE,2016,347.0
110015,OURO PRETO DO OESTE,2016,106.0
110018,PIMENTA BUENO,2016,526.0
110020,PORTO VELHO,2016,1008.0
110025,PRESIDENTE MEDICI,2016,102.0
110026,RIO CRESPO,2016,45.0
110028,ROLIM DE MOURA,2016,360.0
110029,SANTA LUZIA D'OESTE,2016,54.0
110030,VILHENA,2016,331.0
110032,SAO MIGUEL DO GUAPORE,2016,44.0
110033,NOVA MAMORE,2016,159.0
110034,ALVORADA D'OESTE,2016,82.0
110037,ALTO ALEGRE DOS PARECIS,2016,7.0
110040,ALTO PARAISO,2016,12.0
110045,BURITIS,2016,263.0
110050,NOVO HORIZONTE DO OESTE,2016,65.0
110060,CACAULANDIA,2016,13.0
110070,CAMPO NOVO DE RONDONIA,2016,17.0
110080,CANDEIAS DO JAMARI,2016,79.0
110090,CASTANHEIRAS,2016,28.0
110092,CHUPINGUAIA,2016,31.0
110094,CUJUBIM,2016,64.0
110100,GOVERNADOR JORGE TEIXEIRA,2016,14.0
110110,ITAPUA DO OESTE,2016,39.0
110120,MINISTRO ANDREAZZA,2016,28.0
110130,MIRANTE DA SERRA,2016,12.0
110140,MONTE NEGRO,2016,30.0
110143,NOVA UNIAO,2016,12.0
110145,PARECIS,2016,64.0
110146,PIMENTEIRAS DO OESTE,2016,41.0
110147,PRIMAVERA DE RONDONIA,2016,7.0
110148,SAO FELIPE D'OESTE,2016,50.0
110149,SAO FRANCISCO DO GUAPORE,2016,72.0
110150,SERINGUEIRAS,2016,71.0
110155,TEIXEIROPOLIS,2016,5.0
110160,THEOBROMA,2016,21.0
110170,URUPA,2016,23.0
110175,VALE DO ANARI,2016,23.0
110180,VALE DO PARAISO,2016,74.0
120001,ACRELANDIA,2016,4.0
120005,ASSIS BRASIL,2016,482.0
120010,BRASILEIA,2016,131.0
120013,BUJARI,2016,0.0
120017,CAPIXABA,2016,39.0
120020,CRUZEIRO DO SUL,2016,324.0
120025,EPITACIOLANDIA,2016,158.0
120030,FEIJO,2016,7.0
120032,JORDAO,2016,1.0
120033,MANCIO LIMA,2016,5.0
120034,MANOEL URBANO,2016,0.0
120035,MARECHAL THAUMATURGO,2016,1.0
120038,PLACIDO DE CASTRO,2016,13.0
120039,PORTO WALTER,2016,0.0
120040,RIO BRANCO,2016,948.0
120042,RODRIGUES ALVES,2016,4.0
120043,SANTA ROSA DO PURUS,2016,0.0
120045,SENADOR GUIOMARD,2016,11.0
120050,SENA MADUREIRA,2016,3.0
120060,TARAUACA,2016,0.0
120070,XAPURI,2016,118.0
120080,PORTO ACRE,2016,1.0
130002,ALVARAES,2016,2.0
130006,AMATURA,2016,0.0
130008,ANAMA,2016,0.0
130010,ANORI,2016,1.0
130014,APUI,2016,9.0
130020,ATALAIA DO NORTE,2016,0.0
130030,AUTAZES,2016,23.0
130040,BARCELOS,2016,5.0
130050,BARREIRINHA,2016,2.0
130060,BENJAMIN CONSTANT,2016,20.0
130063,BERURI,2016,23.0
130068,BOA VISTA DO RAMOS,2016,28.0
130070,BOCA DO ACRE,2016,5.0
130080,BORBA,2016,69.0
130083,CAAPIRANGA,2016,0.0
130090,CANUTAMA,2016,0.0
130100,CARAUARI,2016,3.0
130110,CAREIRO,2016,16.0
130115,CAREIRO DA VARZEA,2016,0.0
130120,COARI,2016,112.0
130130,CODAJAS,2016,0.0
130140,EIRUNEPE,2016,0.0
130150,ENVIRA,2016,1.0
130160,FONTE BOA,2016,1.0
130165,GUAJARA,2016,66.0
130170,HUMAITA,2016,30.0
130180,IPIXUNA,2016,0.0
130185,IRANDUBA,2016,16.0
130190,ITACOATIARA,2016,115.0
130195,ITAMARATI,2016,0.0
130200,ITAPIRANGA,2016,0.0
130210,JAPURA,2016,14.0
130220,JURUA,2016,0.0
130230,JUTAI,2016,0.0
130240,LABREA,2016,29.0
130250,MANACAPURU,2016,43.0
130255,MANAQUIRI,2016,2.0
130260,MANAUS,2016,5354.0
130270,MANICORE,2016,0.0
130280,MARAA,2016,2.0
130290,MAUES,2016,152.0
130300,NHAMUNDA,2016,0.0
130310,NOVA OLINDA DO NORTE,2016,109.0
130320,NOVO AIRAO,2016,73.0
130330,NOVO ARIPUANA,2016,304.0
130340,PARINTINS,2016,14.0
130350,PAUINI,2016,0.0
130353,PRESIDENTE FIGUEIREDO,2016,28.0
130356,RIO PRETO DA EVA,2016,0.0
130360,SANTA ISABEL DO RIO NEGRO,2016,0.0
130370,SANTO ANTONIO DO ICA,2016,0.0
130380,SAO GABRIEL DA CACHOEIRA,2016,212.0
130390,SAO PAULO DE OLIVENCA,2016,0.0
130395,SAO SEBASTIAO DO UATUMA,2016,0.0
130400,SILVES,2016,9.0
130406,TABATINGA,2016,343.0
130410,TAPAUA,2016,84.0
130420,TEFE,2016,77.0
130423,TONANTINS,2016,0.0
130426,UARINI,2016,0.0
130430,URUCARA,2016,60.0
130440,URUCURITUBA,2016,50.0
140002,AMAJARI,2016,5.0
140005,ALTO ALEGRE,2016,3.0
140010,BOA VISTA,2016,82.0
140015,BONFIM,2016,3.0
140017,CANTA,2016,16.0
140020,CARACARAI,2016,7.0
140023,CAROEBE,2016,47.0
140028,IRACEMA,2016,2.0
140030,MUCAJAI,2016,8.0
140040,NORMANDIA,2016,0.0
140045,PACARAIMA,2016,0.0
140047,RORAINOPOLIS,2016,4.0
140050,SAO JOAO DA BALIZA,2016,33.0
140060,SAO LUIZ,2016,0.0
140070,UIRAMUTA,2016,0.0
150010,ABAETETUBA,2016,125.0
150013,ABEL FIGUEIREDO,2016,20.0
150020,ACARA,2016,7.0
150030,AFUA,2016,1.0
150034,AGUA AZUL DO NORTE,2016,16.0
150040,ALENQUER,2016,532.0
150050,ALMEIRIM,2016,1.0
150060,ALTAMIRA,2016,83.0
150070,ANAJAS,2016,0.0
150080,ANANINDEUA,2016,310.0
150085,ANAPU,2016,52.0
150090,AUGUSTO CORREA,2016,4.0
150095,AURORA DO PARA,2016,4.0
150100,AVEIRO,2016,1.0
150110,BAGRE,2016,0.0
150120,BAIAO,2016,3.0
150125,BANNACH,2016,38.0
150130,BARCARENA,2016,75.0
150140,BELEM,2016,739.0
150145,BELTERRA,2016,21.0
150150,BENEVIDES,2016,47.0
150157,BOM JESUS DO TOCANTINS,2016,1.0
150160,BONITO,2016,2.0
150170,BRAGANCA,2016,220.0
150172,BRASIL NOVO,2016,45.0
150175,BREJO GRANDE DO ARAGUAIA,2016,42.0
150178,BREU BRANCO,2016,456.0
150180,BREVES,2016,45.0
150190,BUJARU,2016,0.0
150195,CACHOEIRA DO PIRIA,2016,81.0
150200,CACHOEIRA DO ARARI,2016,0.0
150210,CAMETA,2016,45.0
150215,CANAA DOS CARAJAS,2016,82.0
150220,CAPANEMA,2016,140.0
150230,CAPITAO POCO,2016,76.0
150240,CASTANHAL,2016,59.0
150250,CHAVES,2016,0.0
150260,COLARES,2016,2.0
150270,CONCEICAO DO ARAGUAIA,2016,95.0
150275,CONCORDIA DO PARA,2016,5.0
150276,CUMARU DO NORTE,2016,179.0
150277,CURIONOPOLIS,2016,54.0
150280,CURRALINHO,2016,0.0
150285,CURUA,2016,5.0
150290,CURUCA,2016,11.0
150293,DOM ELISEU,2016,503.0
150295,ELDORADO DOS CARAJAS,2016,4.0
150300,FARO,2016,0.0
150304,FLORESTA DO ARAGUAIA,2016,190.0
150307,GARRAFAO DO NORTE,2016,3.0
150309,GOIANESIA DO PARA,2016,116.0
150310,GURUPA,2016,16.0
150320,IGARAPE-ACU,2016,22.0
150330,IGARAPE-MIRI,2016,4.0
150340,INHANGAPI,2016,12.0
150345,IPIXUNA DO PARA,2016,6.0
150350,IRITUIA,2016,5.0
150360,ITAITUBA,2016,555.0
150370,ITUPIRANGA,2016,25.0
150375,JACAREACANGA,2016,3.0
150380,JACUNDA,2016,68.0
150390,JURUTI,2016,31.0
150400,LIMOEIRO DO AJURU,2016,5.0
150405,MAE DO RIO,2016,4.0
150410,MAGALHAES BARATA,2016,0.0
150420,MARABA,2016,542.0
150430,MARACANA,2016,16.0
150440,MARAPANIM,2016,0.0
150442,MARITUBA,2016,196.0
150445,MEDICILANDIA,2016,4.0
150450,MELGACO,2016,0.0
150460,MOCAJUBA,2016,21.0
150470,MOJU,2016,3.0
150475,MOJUI DOS CAMPOS,2016,31.0
150480,MONTE ALEGRE,2016,501.0
150490,MUANA,2016,3.0
150495,NOVA ESPERANCA DO PIRIA,2016,26.0
150497,NOVA IPIXUNA,2016,97.0
150500,NOVA TIMBOTEUA,2016,18.0
150503,NOVO PROGRESSO,2016,301.0
150506,NOVO REPARTIMENTO,2016,192.0
150510,OBIDOS,2016,47.0
150520,OEIRAS DO PARA,2016,9.0
